status,xa1,xa2,xb1,xb2,xc1,xc2,xd1,xd2
right,121,444,241,641,125,641,49,641
right,260,393,144,641,107,641,36,641
right,201,351,118,641,244,641,6,641
right,307,322,82,641,191,343,-1,641
right,274,639,42,641,287,353,-1,641
right,226,615,5,641,310,332,8,641
right,209,586,-1,639,-1,641,73,641
right,-1,544,-1,611,-1,641,128,641
right,-1,533,-1,600,-1,641,111,641
straight,-1,497,-1,565,-1,641,131,641
straight,-1,412,-1,546,-1,641,136,641
straight,-1,478,-1,529,-1,641,-1,641
straight,-1,433,-1,505,-1,641,-1,641
straight,317,381,-1,464,-1,628,-1,641
straight,313,330,-1,426,-1,608,-1,641
straight,306,320,-1,390,-1,548,-1,641
left,310,326,-1,392,-1,545,-1,641
left,301,320,-1,359,-1,472,-1,641
left,303,331,314,342,-1,476,-1,641
left,308,320,291,320,-1,409,-1,641
left,292,336,298,320,-1,398,-1,614
left,296,342,306,327,-1,394,-1,574
left,317,390,0,348,-1,406,-1,562
left,-1,424,-1,349,-1,420,-1,556
left,-1,445,0,363,-1,427,-1,550
left,207,422,-1,380,-1,440,-1,550
left,245,437,-1,414,-1,453,-1,557
left,130,500,-1,422,-1,469,-1,580
left,167,523,-1,446,-1,502,-1,581
straight,190,556,-1,475,-1,523,-1,610
straight,224,576,-1,494,-1,538,-1,627
straight,240,602,-1,530,-1,562,-1,638
straight,280,637,-1,543,-1,580,-1,641
straight,281,424,-1,541,-1,580,-1,641
left,284,426,253,559,-1,582,-1,641
left,280,431,216,334,-1,586,-1,641
left,276,435,214,552,-1,588,-1,641
left,273,434,214,552,-1,587,-1,641
left,131,470,226,588,317,626,-1,641
left,319,332,258,600,277,342,-1,641
left,206,361,291,320,284,325,-1,639
left,246,561,0,328,315,320,-1,574
left,280,532,12,365,-1,351,-1,517
left,319,516,36,413,-1,384,-1,484
left,81,342,46,460,-1,429,-1,470
left,119,396,64,514,-1,483,-1,464
left,149,412,55,575,-1,545,-1,484
left,174,487,71,639,-1,623,-1,550
right,-1,641,85,641,-1,641,-1,637
right,254,641,137,641,-1,641,-1,641
right,-1,641,103,641,0,641,-1,641
right,319,326,201,641,10,641,-1,641
right,293,320,199,641,0,641,-1,641
right,243,641,211,641,75,641,-1,641
right,227,641,216,641,86,641,-1,641
straight,199,641,214,641,104,641,-1,641
straight,-1,641,212,641,116,641,-1,641
straight,-1,450,218,641,112,641,-1,639
straight,-1,449,202,639,125,639,-1,632
straight,-1,444,205,641,131,641,0,639
straight,-1,438,210,641,138,641,13,641
straight,-1,440,221,641,153,641,36,641
straight,-1,453,256,641,171,641,38,641
right,-1,453,248,641,181,641,75,641
right,-1,456,260,641,195,641,72,641
right,-1,449,262,641,202,641,83,641
right,-1,450,268,641,210,641,95,641
right,-1,418,253,639,200,641,95,641
right,-1,641,254,616,178,638,86,641
straight,-1,641,226,563,158,583,90,622
straight,-1,641,172,533,133,559,72,591
straight,-1,641,169,492,130,513,56,575
straight,246,641,132,468,96,492,27,541
straight,239,641,128,480,92,490,24,555
straight,237,641,126,464,90,488,22,537
straight,233,641,126,475,88,487,20,534
straight,235,641,125,471,88,484,20,532
straight,230,641,121,458,85,484,16,530
straight,228,641,120,456,83,496,15,528
straight,226,320,118,454,82,493,14,525
straight,316,329,115,452,79,476,10,540
straight,-1,417,114,447,78,472,9,520
straight,210,321,103,449,68,488,1,521
straight,308,344,105,456,70,466,4,513
straight,-1,641,107,436,73,460,5,508
straight,-1,641,101,434,67,458,1,522
straight,-1,641,99,430,65,454,13,518
straight,-1,641,97,428,62,452,10,500
straight,-1,641,93,428,57,452,5,497
straight,-1,641,88,429,52,452,0,498
straight,-1,641,88,641,52,451,0,496
straight,-1,641,88,641,52,449,0,509
straight,-1,641,86,641,50,449,-1,492
straight,-1,641,81,641,45,461,-1,494
straight,-1,641,82,641,45,641,-1,491
straight,-1,641,79,641,42,641,-1,490
straight,-1,641,80,641,43,641,-1,488
straight,-1,641,83,641,46,641,-1,491
straight,-1,641,81,641,43,641,-1,641
straight,-1,641,75,641,38,641,-1,641
straight,-1,641,70,641,32,641,-1,641
straight,-1,641,70,641,33,641,-1,641
straight,-1,641,69,641,32,641,-1,641
straight,-1,641,68,641,31,641,-1,641
right,-1,641,65,641,28,641,-1,641
right,-1,641,65,641,28,641,-1,641
right,-1,641,66,641,28,641,-1,641
right,-1,641,290,322,23,641,-1,641
right,-1,641,272,411,12,641,-1,641
right,-1,641,312,387,63,641,-1,641
right,-1,641,-1,336,102,641,-1,641
right,-1,641,319,322,154,641,-1,641
right,-1,641,319,320,188,641,-1,641
right,-1,641,305,329,198,641,22,641
right,-1,641,286,641,196,641,50,641
right,-1,613,266,641,188,641,41,641
right,-1,544,251,641,178,641,50,641
right,-1,510,228,641,169,641,53,641
right,-1,616,208,641,152,638,45,641
right,-1,546,184,641,129,606,35,622
straight,-1,492,168,641,133,552,45,583
straight,318,448,144,641,95,518,13,552
straight,315,400,100,641,67,484,0,522
straight,288,376,93,641,57,467,0,507
straight,277,589,93,641,53,464,-1,504
straight,279,363,91,641,48,459,-1,499
straight,292,364,87,641,47,641,-1,513
straight,280,362,86,641,50,641,-1,507
straight,306,364,80,641,43,641,-1,487
straight,274,362,69,641,33,641,-1,485
straight,264,362,68,641,32,641,-1,488
straight,248,354,70,641,33,641,-1,641
straight,254,352,63,641,26,641,-1,641
straight,319,358,64,641,28,641,-1,641
straight,232,355,64,641,25,641,-1,641
straight,262,352,59,641,20,641,-1,641
straight,276,347,57,641,18,641,-1,641
right,308,345,52,641,17,641,-1,641
right,312,355,-1,641,10,641,-1,641
right,309,356,-1,641,4,641,-1,641
right,247,364,213,641,-1,641,-1,641
right,319,370,275,641,-1,641,-1,641
right,307,370,263,320,79,641,-1,641
right,311,402,294,320,161,641,-1,641
right,308,356,312,320,187,641,-1,641
right,310,344,278,320,172,641,-1,641
right,304,340,271,641,180,641,11,641
right,302,322,258,641,179,641,33,641
right,292,459,227,641,161,641,-1,641
right,273,439,216,641,145,641,-1,641
right,250,385,204,641,158,641,-1,641
right,313,370,185,638,126,639,-1,641
straight,317,350,165,605,116,619,-1,634
straight,308,331,176,577,104,589,3,613
straight,284,322,161,551,110,569,-1,589
straight,287,475,154,525,107,542,0,575
straight,285,470,146,512,109,530,0,572
straight,286,462,146,510,110,528,24,571
straight,242,463,145,512,102,530,-1,574
straight,268,460,144,520,95,526,0,558
straight,276,453,150,504,100,520,24,556
straight,246,452,146,505,96,522,22,573
straight,260,452,130,506,91,534,21,560
straight,260,448,142,514,102,532,25,572
straight,257,444,141,502,93,531,21,557
straight,258,443,140,509,101,527,26,554
straight,257,433,131,494,90,512,26,548
straight,248,430,136,492,97,510,15,561
straight,245,430,126,489,86,508,24,544
straight,243,424,134,496,96,504,19,542
straight,241,418,131,494,83,515,21,555
straight,236,417,120,491,92,500,8,538
straight,234,412,125,490,88,512,16,538
straight,230,410,115,476,80,498,18,552
straight,228,411,123,474,88,496,6,534
straight,226,405,123,468,77,504,6,532
straight,224,397,110,464,72,488,13,543
straight,218,394,115,460,71,484,12,540
straight,217,389,113,466,78,491,1,522
straight,212,386,109,453,74,488,7,520
straight,209,387,97,461,72,485,6,517
straight,191,377,96,444,69,468,0,514
straight,199,383,85,444,51,466,0,526
straight,197,371,86,436,60,460,-1,506
straight,198,371,83,454,49,456,-1,502
straight,194,362,81,428,46,463,-1,497
straight,190,359,78,424,42,459,-1,506
straight,188,356,76,420,41,443,-1,488
straight,188,353,76,428,40,427,-1,483
straight,188,349,74,414,38,449,-1,480
straight,187,352,74,423,37,434,-1,491
straight,186,346,72,420,35,443,-1,473
straight,185,345,71,408,34,428,-1,470
left,186,344,70,406,33,439,-1,468
straight,187,343,71,404,34,436,-1,453
straight,186,342,70,402,33,422,-1,464
straight,185,342,76,413,32,422,-1,462
straight,185,349,67,422,30,440,-1,484
straight,167,356,77,425,32,431,-1,485
straight,188,361,70,425,32,432,-1,485
straight,188,359,70,414,33,434,-1,470
straight,190,358,70,425,32,444,-1,468
straight,184,364,65,425,27,432,-1,484
straight,186,364,66,412,29,430,-1,466
straight,187,357,67,410,29,428,-1,463
left,189,356,69,420,30,428,-1,463
left,156,366,63,410,24,428,-1,464
left,183,356,63,420,24,425,-1,476
left,187,356,65,406,27,424,-1,460
straight,193,366,69,422,31,435,-1,476
straight,165,393,93,441,53,452,-1,485
straight,190,414,111,460,66,487,-1,505
straight,246,442,114,486,71,496,0,524
straight,262,436,124,484,81,498,8,529
straight,254,445,121,500,78,518,6,548
straight,253,444,121,492,80,509,9,536
straight,257,442,125,492,85,521,14,552
straight,256,442,125,492,85,510,15,554
straight,259,444,129,491,88,522,9,540
straight,257,440,129,492,87,523,19,556
straight,255,440,129,493,85,512,10,547
straight,255,444,130,493,88,512,12,548
straight,255,442,131,492,89,524,23,563
straight,256,436,132,501,91,510,15,549
straight,261,433,136,488,97,510,23,548
straight,233,437,134,501,103,524,24,552
straight,249,437,129,494,90,514,13,567
straight,248,433,128,492,90,525,14,552
straight,246,432,128,502,90,523,26,552
straight,250,426,132,498,94,519,20,563
straight,250,424,130,488,92,519,20,550
straight,239,432,124,501,86,510,16,552
straight,239,431,125,490,88,522,27,552
straight,241,426,127,486,90,519,30,564
straight,239,420,135,486,89,508,29,562
straight,246,416,130,494,92,504,23,546
straight,240,414,126,545,90,504,21,559
straight,242,412,125,470,89,514,30,558
straight,234,411,122,492,86,514,18,558
straight,231,410,117,480,84,513,16,558
straight,232,411,119,476,86,498,19,555
straight,233,408,127,485,84,483,17,554
straight,237,402,120,472,95,508,19,538
straight,235,401,118,472,83,496,17,540
straight,228,405,117,482,81,507,17,538
straight,228,401,116,468,80,492,17,551
straight,225,395,114,478,78,503,14,536
straight,225,393,112,476,76,501,11,534
straight,219,395,108,464,72,500,17,518
straight,213,391,105,462,69,486,11,548
straight,213,389,101,472,65,484,3,546
straight,206,388,99,471,65,495,6,543
straight,208,382,100,466,65,478,7,540
straight,204,387,95,466,61,478,3,539
straight,204,386,94,465,60,489,3,538
straight,206,379,95,461,60,473,3,519
straight,201,380,93,458,59,484,1,531
straight,202,373,101,444,58,468,0,514
straight,195,373,86,443,52,480,0,528
straight,200,371,88,438,54,462,0,523
straight,199,505,88,446,53,472,0,505
straight,199,515,94,432,52,456,-1,502
straight,199,641,86,430,51,454,-1,500
straight,203,641,88,426,54,464,-1,512
straight,202,641,85,426,50,451,-1,496
straight,200,641,83,426,48,464,-1,496
straight,194,641,80,438,44,464,-1,496
straight,198,641,81,436,45,461,-1,494
straight,199,641,82,422,46,457,-1,490
straight,199,641,82,422,46,456,-1,505
straight,200,641,82,433,46,442,-1,503
straight,201,641,84,420,48,440,-1,501
straight,201,641,83,420,47,440,-1,484
straight,197,641,79,420,43,454,-1,484
straight,199,641,80,419,43,452,-1,481
straight,198,641,78,418,42,452,-1,479
straight,197,641,77,429,40,438,-1,477
straight,196,641,75,428,38,438,-1,492
straight,192,641,72,418,36,438,-1,476
straight,168,641,75,416,39,450,-1,476
straight,171,357,78,426,41,435,-1,474
straight,172,359,77,416,40,436,-1,491
straight,167,361,75,417,39,437,-1,492
straight,160,362,76,429,38,450,-1,492
straight,168,534,74,418,38,451,-1,491
straight,162,544,72,418,36,438,-1,476
straight,164,547,72,419,35,438,-1,491
straight,160,549,69,420,33,438,-1,476
straight,162,641,70,430,34,438,-1,474
straight,147,641,70,430,34,438,-1,491
straight,143,641,67,420,31,453,-1,475
straight,140,641,71,421,33,438,-1,474
